,Town,Phone number,Fax,Email,Website,Address,Daira,Wilaya
1201,Baghlia,024 76 03 42 /024 76 03 46,024 76 03 46,apcbaghlia@gmail.com,,"
                                    Siége Commune Baghlia Daira Baghlia                                 
            ",                    baghlia                                               ,                    boumerdes                                            
1202,Sidi daoud,024 76 14 87,024 76 14 87,,,"
                                    Siége Commune Sidi Daoud Daira Baghlia                                 
            ",                    baghlia                                               ,                    boumerdes                                            
1203,Naciria,024 77 04 45,024 77 04 43,apcnaciria3507@gmail.com,,"
                                    Rue ali Bennour                                 
            ",                    naciria                                               ,                    boumerdes                                            
1204,Djinet,024 77 93 46,024 77 93 41,apcdjinet@gmail.com,,"
                                    RUE LOUNES RAISSI                                
            ",                    bordj menaiel                                               ,                    boumerdes                                            
1205,Isser,024 71 31 23,024 71 31 28,,,"
                                    boulevard colonnel amirouche isser                                
            ",                    isser                                               ,                    boumerdes                                            
1206,Zemmouri,024 78 43 00/024 41 01,024 78 43 04,apczemmouri3510@yahoo.fr,,"
                                    RUE BELHIDOUCHE HAMMOUD ZEMMOURI CENTRE                                
            ",                    bordj menaiel                                               ,                    boumerdes                                            
1207,Si mustapha,024 71 02 81,024 71 02 75,,,"
                                    boulevard chahid ben amrouche su mustapha                                
            ",                    isser                                               ,                    boumerdes                                            
1208,Tidjelabine,024  95 00 22/024 95 00 27,024 95 00 49,apctidjelabine@yahoo .com,,"
                                    RUE DIDOUCHE MOURAD  TIDJELABINE                                
            ",                    boumerdes                                               ,                    boumerdes                                            
1209,Chabet el ameur,024 78 92 76,024 78 92 77,,,"
                                    boulevard 1er novembre chabet el ameur                                
            ",                    isser                                               ,                    boumerdes                                            
1210,Thenia,024 96 31 76/024 96 31 77,024 96 31 74 / 024 96 31 73,apc-thenia@outlook.com,,"
                                    RUE BAKOUR BOUALEM THENIA                                
            ",                    thenia                                               ,                    boumerdes                                            
1211,Timezrit,024 71 21 44/024 71 21 45/ 024 71 21 46/024 71 21 43,024 71 21 46,apc.timezrit@yahoo.com/apctimezrit3515@gmail.com,,"
                                    timezrit centre                                
            ",                    isser                                               ,                    boumerdes                                            
1212,Corso,024 95 14 48 / 024 95 14 45, 024 95 14 45,apc.corso@gmail.com,,"
                                    Commune de corso centre ville                                
            ",                    boumerdes                                               ,                    boumerdes                                            
1213,Ouled moussa,024 93 75 44,024 93 77 51/024 93 77 54,,,"
                                    Rue Moussaoui Dahmene ouled moussa                                 
            ",                    khemis el khechna                                               ,                    boumerdes                                            
1214,Larbatache,024 93 52 82,024 93 52 84,apc18larbata@yahoo.com,,"
                                    Rue Kherbachi Abdelkader                                
            ",                    khemis el khechna                                               ,                    boumerdes                                            
1215,Bouzegza keddara,024 70 33 66 / 024 70 33 60,024 70 33 66   /  024 70 33 60,bouzegzakeddara.courrier@gmail com,,"
                                    rue ali tamchichet keddara centre                                
            ",                    boudouaou                                               ,                    boumerdes                                            
1216,Taourga,024 76 75 40 /024 76 75 49,024 76 75 49,apctaourga@yahoo.fr,,"
                                    Siége Commune Taourga Daira Baghlia                                 
            ",                    baghlia                                               ,                    boumerdes                                            
1217,Ouled aissa,024 78 11 96,024 78 11 97,,,"
                                    ouled aissa centre                                
            ",                    naciria                                               ,                    boumerdes                                            
1218,Ben choud,024 76 81 42/024 76 81 43/024 76 82 24,024 76 81 42/024 76 81 40,benchoud2015@gmail.com,,"
                                    village agricole Benchoude                                 
            ",                    dellys                                               ,                    boumerdes                                            
1219,Dellys,024 76 35 58/024 76 35 78/024 76 35 52,024 76 35 59,apcdellys@hotmail.fr,www.communedellys.dz,"
                                    Rue Lamraoui dellys                                
            ",                    dellys                                               ,                    boumerdes                                            
1220,Ammal,024 96 52 91/024 96 52 92,024 96 52 93/ 024 96 52 90,apc.ammal3524@gmail.com,,"
                                    Rue MAALEM SMAIL Ammal centre                                 
            ",                    thenia                                               ,                    boumerdes                                            
1221,Beni amrane,024 96 26 02,024 96 25 98 / 024 96 26 03,apc3525beniamrane@gmail.com,,"
                                    Rue chahid hidous lounes N 01 beni amrane                                 
            ",                    thenia                                               ,                    boumerdes                                            
1222,Souk el had,024 96 15 07/024 96 15 08,024 96 15 09 ,apcsoukelhad3526@gmail.com,,"
                                    Rue TIMIZAR Lounes Souk el Had                                
            ",                    thenia                                               ,                    boumerdes                                            
1223,Boudouaou el bahri,024 70 61 37 / 024 70 61 39,024 70 61 39 / 024 70 61 40,commune.beb@gmail.com,,"
                                    Boudouaou El Bahri Centre                                
            ",                    boudouaou                                               ,                    boumerdes                                            
1224,Ouled hedadj,024 70 84 91/024 70 84 78,024 70 84 91,,,"
                                    ouled heddadj centre                                
            ",                    boudouaou                                               ,                    boumerdes                                            
1225,Leghata,024 78 41 20/024 78 41 23,024 78 41 19,,,"
                                    RUE BENADJAL AHMED LEGATA CENTRE                                
            ",                    bordj menaiel                                               ,                    boumerdes                                            
1226,Hammedi,024 93 10 14/024 93 10 15/024 93 10 19/024 93 10 16,024 93 10 16/024 93 10 19/024 93 10 14,apchammedi@yahoo.fr,,"
                                    Rue kerbab abdelkader hammedi centre                                
            ",                    khemis el khechna                                               ,                    boumerdes                                            
1227,Khemis el khechna,024 97 06 51,024 97 06 86,,,"
                                    RUE MAGRAMENE LOUANES                                
            ",                    khemis el khechna                                               ,                    boumerdes                                            
1228,El kharrouba,024 98 94 27/024 98 94 26 /,024 98 94 27 /024 98 94 26,,,"
                                    cité kalache brahim, el kharrouba                                
            ",                    boudouaou                                               ,                    boumerdes                                            
1229,El tarf,038 60 14 20,038 60 13 02,,,"
                                    RUE KEDDACHE MESSAOUD CNE EL TARF ECNTRE                                
            ",                    el tarf                                               ,                    el tarf                                            
1230,Bouhadjar,038 32 75 06,038 32 75 25 / 038 32 75 16,apc.bouhadjar@gmail.com,,"
                                    RUE ABDERAHMENE BENSALEM BOUHADJAR                                
            ",                    bouhadjar                                               ,                    el tarf                                            
1231,Ben m hidi,038 34 72 37,038 34 72 37,,,"
                                    RN 44 COMMUNE BEN M'HIDI CENTRE                                
            ",                    ben m'hidi                                               ,                    el tarf                                            
1232,Bougous,038 31 21 20 / 038 31 21 39,038 31 2120 / 038 31 21 39,,,"
                                    COMMUNE BOUGOUS CENTRE                                
            ",                    el tarf                                               ,                    el tarf                                            
1233,El kala,038 36 34 19 / 038 36 34 17,038 3634 17 / 038 36 09 69,,,"
                                    COUR DE LA REVOLUTION EL KALA                                 
            ",                    el kala                                               ,                    el tarf                                            
1234,Ain el assel,038 31 70 83,038 31 70 83 / 038 31 72 16,,,"
                                    COMMUNE AIN EL ASSEL CENTRE                                
            ",                    el tarf                                               ,                    el tarf                                            
1235,El aioun,038 35 41 61,038 35 41 61 / 038 35 41 93,,,"
                                    RUE 1ER NOVEMBRE 1954 CNE EL AIOUN                                
            ",                    el kala                                               ,                    el tarf                                            
1236,Bouteldja,038 33 92 09,038 33 92 09,,,"
                                    COMMUNE DE BOUTELDJA CENTRE                                
            ",                    bouteldja                                               ,                    el tarf                                            
1237,Souarekh,038 36 91 28 / 038 36 90 40,038 36 90 40 / 038 36 99 62,,,"
                                    COMMUNE DE SOUAREKH CENTRE                                
            ",                    el kala                                               ,                    el tarf                                            
1238,Berrihane,038 34 31 89,038 34 31 89,,,"
                                    COMMUNE DE BERRIHANE CENTRE                                
            ",                    ben m'hidi                                               ,                    el tarf                                            
1239,Lac des oiseaux,038 33 71 77 / 038 33 72 67,038 33 72 67 / 038 33 72 67,,,"
                                    RUE KHRISSI BOUBAKEUR CNE LAC DES OISEAUX                                
            ",                    bouteldja                                               ,                    el tarf                                            
1240,Chefia,038 33 51 64,038 33 51 24 / 038 33 51 32,,,"
                                    COMMUNE DE CHEFFIA CENTRE                                
            ",                    bouteldja                                               ,                    el tarf                                            
1241,Drean,038 38 86 14,038 38 86 14 / 038 38 93 01,,,"
                                    RUE MOHAMED BOURAS COMMUNE DE DREAN                                
            ",                    drean                                               ,                    el tarf                                            
1242,Chihani,038 38 31 01,038 38 31 35,,,"
                                    RUE KHAROUBI KHEMISSI CNE DE CHIHANI                                
            ",                    drean                                               ,                    el tarf                                            
1243,Chebaita mokhtar,038 38 15 26,038 38 14 79 / 038 38 14 95,,,"
                                    COMMUNE DE CHBAITA MOKHTAR CENTRE                                
            ",                    drean                                               ,                    el tarf                                            
1244,Besbes,038 39 43 63,038 39 43 65,,,"
                                    COMMUNE DE BESBES CENTRE                                
            ",                    besbes                                               ,                    el tarf                                            
1245,Asfour,038 39 11 60 / 038 39 15 13,038 39 15 13 / 038 39 15 36,,,"
                                    COMMUNE DE ASFOUR CENTRE                                
            ",                    besbes                                               ,                    el tarf                                            
1246,Echatt,038 34 01 21 038 34 01 31,038 34 01 31,,,"
                                    COMMUNE ECHATT CENTRE                                
            ",                    ben m'hidi                                               ,                    el tarf                                            
1247,Zerizer,038 39 32 05,038 39 33 47,,,"
                                    COMMUNE DE ZERIZER CENTRE                                
            ",                    besbes                                               ,                    el tarf                                            
1248,Zitouna,038 31 91 82,038 31 91 82 / 038 31 95 55,,,"
                                    RN 82 COMMUNE ZITOUNA CENTRE                                 
            ",                    el tarf                                               ,                    el tarf                                            
1249,Ain kerma,038 32 93 01 / 038 32 92 02,038 32 92 02 / 038 32 95 33,,,"
                                    RUE BENSEGHIR MOHAMED CNE AIN KERMA                                
            ",                    bouhadjar                                               ,                    el tarf                                            
1250,Oued zitoun,038 32 31 32 / 038 32 32 15,038 32 31 45 / 038 32 32 15,,,"
                                    COMMUNE OUED ZITOUNE CENTRE                                
            ",                    bouhadjar                                               ,                    el tarf                                            
1251,Hammam beni salah,038 32 21 05 / 038 32 22 90,038 32 21 27,apchammambenisalah@hotmail.com,,"
                                    COMMUNE HAMMAM BENI SALAH CENTRE                                
            ",                    bouhadjar                                               ,                    el tarf                                            
1252,Raml souk,038 35 52 05,038 35 52 04,,,"
                                    COMMUNE DE RAML SOUK CENTRE                                
            ",                    el kala                                               ,                    el tarf                                            
1253,Tindouf,049 37 19 60 /61,049 37 10 88,,,"
                                    Hai rmadin tindouf                                
            ",                    tindouf                                               ,                    tindouf                                            
1254,Oum el assel,049 39 02 03,049 39 02 03,,,"
                                    Hai el moudjahid hiadass bechri oum el assal                                
            ",                    tindouf                                               ,                    tindouf                                            
1255,Tissemsilt,046 57 63 24/ 25,046 57 63 29,,,"
                                    Rue Premier Novembre Tissemsilt                                
            ",                    tissemsilt                                               ,                    tissemsilt                                            
1256,Bordj bounaama,046 50 33 60,046 55 33 58,,,"
                                    Rue Sbaa Mohamed Bordj Bounaama                                
            ",                    bordj bounaama                                               ,                    tissemsilt                                            
1257,Theniet el had,045 58 25 32,046 58 25 32,,,"
                                    Rue de L'indépendance Theniet El Had                                
            ",                    theniet el had                                               ,                    tissemsilt                                            
1258,Lazharia,046 55 51 95,046 55 52 04,,,"
                                    Rue Djillali Bounaama Lazharia                                
            ",                    lazharia                                               ,                    tissemsilt                                            
1259,Beni chaib,046 50 01 03,046 55 01 04,,,"
                                    Rue Younssi Omar Beni Chaib                                
            ",                    bordj bounaama                                               ,                    tissemsilt                                            
1260,Lardjem,046 53 45 58,046 55 45 59,apc.lardjem@gmail.com,http://apclardjem38.blogspot.com,"
                                    Rue El Emir Abdelkader                                
            ",                    lardjem                                               ,                    tissemsilt                                            
1261,Melaab,046 53 21 08,046 53 21 02,,,"
                                    Rue Premier Novembre Melaab                                
            ",                    lardjem                                               ,                    tissemsilt                                            
1262,Sidi lantri,046 53 91 03,046 53 91 04,,,"
                                    Rue Principal  Aouadj M'hamed Sidid Lantri                                 
            ",                    lardjem                                               ,                    tissemsilt                                            
1263,Bordj el emir abdelkader,046 58 93 65,046 58 94 65,apc3809taza@gmail.com,http://apc-bemiraek-taza.com/3809,"
                                    Rua Echahid Chenoufi mohamed Bordj El Emir AEK                                
            ",                    bordj emir abdelkader                                               ,                    tissemsilt                                            
1264,Layoune,046 53 32 64,046 56 10 72,,,"
                                    Rue 05 Juillet Layoune                                 
            ",                    khemisti                                               ,                    tissemsilt                                            
1265,Khemisti,046 56 12 71,046 53 31 60,,,"
                                    Rue Bouduissa Omar Khemisti                                
            ",                    khemisti                                               ,                    tissemsilt                                            
1266,Ouled bessam,046 55 21 16,046 55 21 17,,,"
                                    Rue Premier Novembre Ouled Bessam                                
            ",                    tissemsilt                                               ,                    tissemsilt                                            
1267,Ammari,046 55 02 69,046 55 02 68,,,"
                                    Rue Meakab Rabah Ammari                                
            ",                    ammari                                               ,                    tissemsilt                                            
1268,Youssoufia,046 58 61 01,046 58 61 13,,www.apc-youssoufia.com,"
                                    Rue Lefifan Beradjaa Youssoufia                                
            ",                    bordj emir abdelkader                                               ,                    tissemsilt                                            
1269,Sidi boutouchent,046 58 01 47/13,046 58 01 44,,,"
                                    Hay Sedar Yaakoub Chidak Sidi Boutouchent                                
            ",                    theniet el had                                               ,                    tissemsilt                                            
1270,Larbaa,046 55 59 02,046 55 59 34,,,"
                                    Rue 19 Mars Larbaa                                
            ",                    lazharia                                               ,                    tissemsilt                                            
1271,Maacem,046 56 88 01,046 56 88 19,,www.apc-maacem.com,"
                                    Rue Echahid Boubekeur Zarrouk Maacem                                
            ",                    ammari                                               ,                    tissemsilt                                            
1272,Sidi abed,046 55 60 51,046 55 60 02,,,"
                                    Hay Elouanchariss Sidi Abed                                
            ",                    ammari                                               ,                    tissemsilt                                            
1273,Tamellahet,046 53 81 17,046 53 81 18,,,"
                                    Hay Echahid Ghalem Selimane Tamelahet                                
            ",                    lardjem                                               ,                    tissemsilt                                            
1274,Sidi slimane,046 50 81 02,046 50 81 03/04,sidislimanetissemsilt@yahoo.com,www.apc-sidislimane/3020,"
                                    Rue Mohamed boudiaf Sidi Slimane                                 
            ",                    bordj bounaama                                               ,                    tissemsilt                                            
1275,Boucaid,046 55 61 03,046 55 63 10,"apc_boucaid@hotmail,fr",www.apc-boucaid.com,"
                                    23 Bis Cité Kassel Abdelkaser Boucaid                                
            ",                    lazharia                                               ,                    tissemsilt                                            
1276,Beni lahcene,046 50 80 02,046 50 80 45/03,apcbenilahcene3822@yahoo.com,www.apc-benilahcene.com,"
                                    Hay Echahid Fdoul Elghoul Beni Lahcene                                
            ",                    bordj bounaama                                               ,                    tissemsilt                                            
1277,El-oued,032.24.81.75,032.24.93.61,,,"
                                    ELOUED                                
            ",                    el oued                                               ,                    el-oued                                            
1278,Robbah,032.10.51.81,032.10.51.80,,,"
                                    ROBBAH                                
            ",                    robbah                                               ,                    el-oued                                            
1279,Oued el alenda,032.14.31.96,032.14.31.97,,,"
                                    OUED ALENDA                                
            ",                    mih ouensa                                               ,                    el-oued                                            
1280,Bayadha,032.22.51.76,032.22.51.79,,,"
                                    BAYADHA                                
            ",                    bayadha                                               ,                    el-oued                                            
1281,Nakhla,032.11.33.52,032.11.33.54,,,"
                                    NAKHLA                                
            ",                    robbah                                               ,                    el-oued                                            
1282,Guemar,032.23.32.28,032.23.32.34,,,"
                                    GUEMAR                                
            ",                    guemar                                               ,                    el-oued                                            
1283,Kouinine,032.21.21.00,032.21.21.01,,,"
                                    KOUININE                                
            ",                    el oued                                               ,                    el-oued                                            
1284,Reguiba,032.12.71.28,032.12.71.32,meddali3908@gmail.com,,"
                                    REGUIBA                                
            ",                    reguiba                                               ,                    el-oued                                            
1285,Hamraia,032.18.31.31,032.18.31.34,,,"
                                    HAMRAIA                                
            ",                    reguiba                                               ,                    el-oued                                            
1286,Taghzout,032.13.82.02,032.13.82.01,,,"
                                    TAGHZOUT                                
            ",                    guemar                                               ,                    el-oued                                            
1287,Debila,032.26.68.90,032.26.87.89,,,"
                                    DEBILA                                
            ",                    debila                                               ,                    el-oued                                            
1288,Hassani abdelkrim,032.10.82.33,032.10.82.37,,,"
                                    HASSANI ABDELKARIM                                
            ",                    debila                                               ,                    el-oued                                            
1289,Hassi khalifa,032.20.03.37,032.20.03.30,,,"
                                    HASSI KHLIFA                                
            ",                    hassi khalifa                                               ,                    el-oued                                            
1290,Taleb larbi,032.10.71.70,032.10.71.73,,,"
                                    TALEB LARBI                                
            ",                    taleb larbi                                               ,                    el-oued                                            
1291,Douar el maa,032.12.91.59,032.12.91.60,,,"
                                    DOUAR ELMAA                                
            ",                    taleb larbi                                               ,                    el-oued                                            
1292,Sidi aoun,032.26.04.62,032.26.04.28,,,"
                                    SIDI AOUNE                                
            ",                    magrane                                               ,                    el-oued                                            
1293,Trifaoui,032.13.52.19,032.13.52.18,,,"
                                    TRIFAOUI                                
            ",                    hassi khalifa                                               ,                    el-oued                                            
1294,Magrane,032.27.42.04,032.27.42.07,,,"
                                    MAGRANE                                
            ",                    magrane                                               ,                    el-oued                                            
1295,Ben guecha,032.22.81.10,032.22.81.20,,,"
                                    BEN GUECHA                                
            ",                    taleb larbi                                               ,                    el-oued                                            
1296,Ourmes,032.13.11.25,032.13.11.27,,,"
                                    OUERMAS                                
            ",                    guemar                                               ,                    el-oued                                            
1297,Still,032.18.21.43,032.18.21.42,,,"
                                    STILL                                
            ",                    el meghaier                                               ,                    el-oued                                            
1298,M'rara,032.15.02.55,032.15.02.53,,,"
                                    MARRARA                                
            ",                    djamaa                                               ,                    el-oued                                            
1299,Sidi khelil,032.18.41.41,032.18.41.46,,,"
                                    SIDI KHLIIL                                
            ",                    el meghaier                                               ,                    el-oued                                            
1300,Tenedla,032.15.31.54,032.15.31.46,,,"
                                    TINDELA                                
            ",                    djamaa                                               ,                    el-oued                                            
1301,El ogla,032.12.11.40,032.12.11.42,,,"
                                    OGLA                                
            ",                    robbah                                               ,                    el-oued                                            
1302,Mih ouansa,032.11.11.07,032.11.11.09,,,"
                                    MIHOUENSA                                
            ",                    mih ouensa                                               ,                    el-oued                                            
1303,El-m'ghaier,032.18.64.44,032.18.64.38,,,"
                                    ELMEGHAIER                                
            ",                    el meghaier                                               ,                    el-oued                                            
1304,Djamaa,032.15.62.34,032.15.62.37,,,"
                                    DJAMAA                                
            ",                    djamaa                                               ,                    el-oued                                            
1305,Oum touyour,032.18.03.03,032.18.03.02,,,"
                                    OUM TOYOUR                                
            ",                    el meghaier                                               ,                    el-oued                                            
1306,Sidi amrane,032.16.13.83,032.16.13.84,,,"
                                    SIDI AMRANE                                
            ",                    djamaa                                               ,                    el-oued                                            
1307,Khenchela,032 72 98 94 / 032 72 98 97,032 72 98 94 / 032 72 98 97,apckhenchela1@gmail.com,www.wilaya-khenchela.dz,"
                                    CITE ADMINISTRATIVE ROUTE DE BABAR                                
            ",                    khenchela                                               ,                    khenchela                                            
1308,M'toussa,032 74 22 13,032 74 22 13,apcmtoussa4002@gmail.com,www.wilaya-khenchela.dz,"
                                    COMMUNE DE M'TOUSSA 40120                                
            ",                    ain touila                                               ,                    khenchela                                            
1309,Kais,032 77 23 23,032 77 23 00,apc.kais4003@yahoo.fr ,www.wilaya-khenchela.dz,"
                                    RUE ABBAS LAGHROUR- KAIS                                
            ",                    kais                                               ,                    khenchela                                            
1310,Baghai,032 73 33 41,032 73 33 41,apc.baghai@gmail.com ,www.wilaya-khenchela.dz,"
                                    BAGHAI CENTER                                
            ",                    el hamma                                               ,                    khenchela                                            
1311,El hamma,032 71 51 66,032 71 51 69,elhamma.apc2015@hotmail.com  ,www.wilaya-khenchela.dz,"
                                    EL HAMMA CENTER                                
            ",                    el hamma                                               ,                    khenchela                                            
1312,Ain touila,032 78 01 91,032 78 04 48,apc_aintouila@yahoo.fr ,www.wilaya-khenchela.dz,"
                                    07 RUE LALAOUNA BOUDJEMAA AIN TOUILA                                
            ",                    ain touila                                               ,                    khenchela                                            
1313,Taouzianat,032 74 11 37,03 74 12 27,apc.taouzient@yahoo.fr ,www.wilaya-khenchela.dz,"
                                    CITE FRERES BOUMAHRAB -TAOUZIANAT                                
            ",                    kais                                               ,                    khenchela                                            
1314,Bouhmama,032 33 53 02,032 33 35 01,cmbouhmama4008@gmail.com,www.wilaya-khenchela.dz,"
                                    RUE GUERMOUA AHMED                                
            ",                    bouhmama                                               ,                    khenchela                                            
1315,El oueldja,032 74 91 44,032 74 91 44,apcwalja@yahoo.fr ,www.wilaya-khenchela.dz,"
                                    EL OUELDJA                                
            ",                    chechar                                               ,                    khenchela                                            
1316,Remila,032 76 61 64,032 76 61 65,apc.remila@yahoo.fr  ,www.wilaya-khenchela.dz,"
                                    HENCHIR M'LIEH - REMILA                                
            ",                    kais                                               ,                    khenchela                                            
1317,Chechar,032 75 35 37,032 75 35 37,4011apcchechar@gmail.com ,www.wilaya-khenchela.dz,"
                                    CHECHAR                                
            ",                    chechar                                               ,                    khenchela                                            
1318,Djellal,032 75 71 22 / 032 75 71 22,032 75 71 22,apcdjellal@hotmail.com,www.wilaya-khenchela.dz,"
                                    LIBERATION RUE ARMEE                                
            ",                    chechar                                               ,                    khenchela                                            
1319,Babar,032 75 21 00,032 75 21 01 / 032 75 21 02 / 032 75 21 00,babarcom40@gmail.com,www.wilaya-khenchela.dz,"
                                    RN80 RUE DE CHAHID DAHRAOUI REBIAI                                
            ",                    babar                                               ,                    khenchela                                            
1320,Tamza,032 71 42 15,032 71 42 16,apc-tamza@yahoo.com ,www.wilaya-khenchela.dz,"
                                    TAMZA CENTER                                
            ",                    el hamma                                               ,                    khenchela                                            
1321,Ensigha,032 74 53 00,032 74 53 02,,www.wilaya-khenchela.dz,"
                                    ENSIGHA CENTER                                
            ",                    el hamma                                               ,                    khenchela                                            
1322,Ouled rechache,032 78 51 40,032 78 51 44 / 032 78 51 39,apczoui@gmail.com ,www.wilaya-khenchela.dz,"
                                    COMMUNE OULED RECHACHE WILAYA DE KHENCHELA                                
            ",                    ouled rechache                                               ,                    khenchela                                            
1323,El mahmal,032 70 06 64,032 70 06 65 / 032 70 06 69,apc4017@yahoo.fr ,www.wilaya-khenchela.dz,"
                                    ROUTE NATIONALE N°32 COMMUNE EL MAHMAL WILAYA DE KHENCHELA                                
            ",                    ouled rechache                                               ,                    khenchela                                            
1324,M'sara,032 76 02 02,032 76 02 02,apc_msara@hotmail.com,www.wilaya-khenchela.dz,"
                                    CITE SOUFI ABDELHAFID                                
            ",                    bouhmama                                               ,                    khenchela                                            
1325,Yabous,032 74 31 18 / 032 74 31 30,032 74 32 00,apcyabous@hotmail.com,www.wilaya-khenchela.dz,"
                                    YABOUS 40023                                
            ",                    bouhmama                                               ,                    khenchela                                            
1326,Khirane,032 74 90 45,032 74 90 44,kheirane4020@outlook.fr,www.wilaya-khenchela.dz,"
                                    KHIRANE                                
            ",                    chechar                                               ,                    khenchela                                            
1327,Chelia,032 76 71 06,032 76 71 01 / 032 76 71 05,apcchelia@gamil.com,www.wilaya-khenchela.dz,"
                                    RUE BAAI BELKACEM                                
            ",                    bouhmama                                               ,                    khenchela                                            
1328,Souk ahras,037 72 43 66,037 72 43 66,communedesoukahras@gmail.com,,"
                                    Rue boutelidja laabed SOUK AHRAS                                
            ",                    souk ahras                                               ,                    souk ahras                                            
1329,Sedrata,037 77 67 34,037 77 67 35,apcsedrata4102@gmail.com,,"
                                    Rue de la paix SEDRATA                                
            ",                    sedrata                                               ,                    souk ahras                                            
1330,Hanencha,037 85 76 86,037 85 76 86,hennanchacommune@gmail.com,,"
                                    Rue bordji mohammed HANENCHA                                
            ",                    mechroha                                               ,                    souk ahras                                            
1331,Machroha,037 85 55 82,037 85 55 82,commune.de.mechroha.4104@gmail.com,,"
                                    Rue 1 er novembre 1954 MACHROHA                                
            ",                    mechroha                                               ,                    souk ahras                                            
1332,Ouled driss,037 89 31 19,037 89 31 14,apc.ouled.driss@gmail.com,,"
                                    Siége commune OULED DRISS                                
            ",                    ouled driss                                               ,                    souk ahras                                            
1333,Tiffech,037 83 91 05/037 83 91 06    037 98 91 05/037 83 91 06,037 83 91 05/037 83 91 06,apctiffech4106@yahoo.com,,"
                                    Siége commune TIFFECH                                
            ",                    m'daourouche                                               ,                    souk ahras                                            
1334,Zaarouria,037 78 80 37,037 78 80 16,apczaarouria@gmail.com,,"
                                    Rue debassi ibrahim ZAAROURIA                                
            ",                    taoura                                               ,                    souk ahras                                            
1335,Taoura,037 78 15 26,037 78 15 28,commune.taoura4108@gmail.com,,"
                                    Rue ibn badis TAOURA                                
            ",                    taoura                                               ,                    souk ahras                                            
1336,Drea,037 85 21 05,037 85 21 04,commune.drea4109@gmail.com,,"
                                    Nouvelle ville DREA                                
            ",                    taoura                                               ,                    souk ahras                                            
1337,Haddada,037 80 90 06 /037 80 90 07,037 80 90 06,apc.haddada@yahoo.com,,"
                                    Siége commune HADDADA                                
            ",                    haddada                                               ,                    souk ahras                                            
1338,Khedara,037 89 61 51 ,037 89 61 68,khedaracommune@yahoo.com,,"
                                    Siége commune KHEDARA                                
            ",                    haddada                                               ,                    souk ahras                                            
1339,Merahna,037 80 42 11/037 80 42 12,037 80 42 13/037 80 42 14,apcmerahna4110@gmail.com,,"
                                    Rue rahoem houcine MERAHNA                                
            ",                    merahna                                               ,                    souk ahras                                            
